model,arm,checkpoint,probe_name,layer,native_object,n_samples,normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0,c_epsilon,c5_module_count,c5_source_probe_names,p_k4,p_k8,p_k16,p_k32,pk_track,cumulative_kl_base_to_current,absolute_delta_nll_cumulative,delta_nll_cumulative,sample_count,track,is_opd,row_id
qwen,offkd,20,E_ood,18,raw residual-stream sample means and centered covariance,32,1.1264809420959538,1.0256579240589072,0.9873976850415028,0.9941445687850676,0.9955126937248496,0.9183846712112428,-0.0292427949607372,0.9991900324821472,-0.00437611825845236,5,E_ood,8.860182642170652e-06,2.221866855377032e-05,7.047175170424876e-05,0.0002142885090766,qwen_existing_deployed_effective,0.0080556028333376,0.070563077024417,-0.0064938739951685,128,qwen_d4_merged_state,0,39
qwen,offkd,40,E_general,18,raw residual-stream sample means and centered covariance,32,1.0863812850994314,1.015104498834112,0.9925307101336236,0.9951245919658904,0.996294289727558,0.936703324317932,-0.0073163239285349,0.9999439716339112,0.00371605495394478,5,E_general,7.518238427499975e-06,1.9394937810700086e-05,7.490312015890747e-05,0.0002282370088713,qwen_existing_deployed_effective,0.0104234433965757,0.0997606581659056,0.0003538817536536,128,qwen_d4_merged_state,0,40
qwen,offkd,40,E_if,18,raw residual-stream sample means and centered covariance,32,1.0179303039243215,1.0027457119891352,0.9986299516456484,0.99895026011815,0.9992530034604988,0.99038428068161,-0.0025545801036059,0.9998624920845032,-0.00294141233422688,5,E_if,7.518238427499975e-06,1.9394937810700086e-05,7.490312015890747e-05,0.0002282370088713,qwen_existing_deployed_effective,0.0221794033715718,0.1561967881186391,-0.0143708334706358,541,qwen_d4_merged_state,0,41
qwen,offkd,40,E_math,18,raw residual-stream sample means and centered covariance,32,1.0251413523924202,1.003846544933041,0.9980822416568398,0.9984359582520524,0.9988601803445848,0.9568093419075012,0.0971991941332817,0.9999569058418274,-0.00153009008478396,5,E_math,7.518238427499975e-06,1.9394937810700086e-05,7.490312015890747e-05,0.0002282370088713,qwen_existing_deployed_effective,0.0184634746019728,0.098341128244996,0.0086793604344129,500,qwen_d4_merged_state,0,42
qwen,offkd,40,E_ood,18,raw residual-stream sample means and centered covariance,32,1.1263585534784106,1.0257210617215404,0.987366881112664,0.9941844612450264,0.995543647997953,0.9186710119247437,-0.0290452409535646,0.99464750289917,-0.0017802873542182602,5,E_ood,7.518238427499975e-06,1.9394937810700086e-05,7.490312015890747e-05,0.0002282370088713,qwen_existing_deployed_effective,0.0107114825004828,0.0806520727346651,-0.0058818583147512,128,qwen_d4_merged_state,0,43
qwen,offkd,160,E_general,18,raw residual-stream sample means and centered covariance,32,1.083638350507992,1.014669241242391,0.9927435493716972,0.9953244714530004,0.9964543492279636,0.938878893852234,-0.0077904304489493,0.9996002912521362,0.013940695963790939,5,E_general,4.81878055325069e-06,1.8228949946725545e-05,6.88340722782712e-05,0.0002299271873198,qwen_existing_deployed_effective,0.0168283798193442,0.127483619726263,0.0052927043252566,128,qwen_d4_merged_state,0,44
qwen,offkd,160,E_if,18,raw residual-stream sample means and centered covariance,32,1.0173047479959998,1.002646006605322,0.9986796039921744,0.998992531179535,0.999284759801116,0.9905922412872314,-0.0044573987834155,0.999745547771454,0.0161661991189558,5,E_if,4.81878055325069e-06,1.8228949946725545e-05,6.88340722782712e-05,0.0002299271873198,qwen_existing_deployed_effective,0.0340819757779485,0.1880835059706583,0.0185530619829628,541,qwen_d4_merged_state,0,45
qwen,offkd,160,E_math,18,raw residual-stream sample means and centered covariance,32,1.0241088226663813,1.003682699358782,0.9981637051678232,0.9985063596064396,0.9989155463627116,0.9585466384887696,0.0935246273875236,0.9997400641441344,0.01654900987285368,5,E_math,4.81878055325069e-06,1.8228949946725545e-05,6.88340722782712e-05,0.0002299271873198,qwen_existing_deployed_effective,0.0441670121997594,0.1516895637102425,0.0297173814778216,500,qwen_d4_merged_state,0,46
qwen,offkd,160,E_ood,18,raw residual-stream sample means and centered covariance,32,1.1194647111479947,1.0241485746814551,0.9881267944558002,0.9944925335724304,0.9957937055311982,0.9180856347084044,-0.0289316829293966,0.9535146355628968,0.016392286588813983,5,E_ood,4.81878055325069e-06,1.8228949946725545e-05,6.88340722782712e-05,0.0002299271873198,qwen_existing_deployed_effective,0.0241258888636366,0.1114628089417237,0.0005273734350339,128,qwen_d4_merged_state,0,47
qwen,seqkd,5,E_general,18,raw residual-stream sample means and centered covariance,32,1.0854347211357465,1.0148805766330495,0.992640318348643,0.9951529425521166,0.9963118876222832,0.9372142553329468,-0.007570116315037,0.9999770522117616,0.00106992819787022,5,E_general,5.201076013301125e-06,1.5341185514574007e-05,5.167947217289526e-05,0.0001746841366444,qwen_existing_deployed_effective,0.0030900243264113,0.0570815071114338,-0.0070371836291087,128,qwen_d4_merged_state,0,48
qwen,seqkd,5,E_if,18,raw residual-stream sample means and centered covariance,32,1.017999659182858,1.0027566487081794,0.998624505905011,0.9989443776616052,0.9992492779867702,0.9904027581214904,-0.0051804683171212,0.999983012676239,8.017592889540009e-06,5,E_if,5.201076013301125e-06,1.5341185514574007e-05,5.167947217289526e-05,0.0001746841366444,qwen_existing_deployed_effective,0.0053507652923003,0.0824910977962056,-0.0223718570664098,541,qwen_d4_merged_state,0,49
qwen,seqkd,5,E_math,18,raw residual-stream sample means and centered covariance,32,1.0248786395023184,1.0038049920365637,0.998102899806961,0.998452688201161,0.9988735662045042,0.9569598436355592,0.096602477133274,0.999994158744812,-0.00072077928998696,5,E_math,5.201076013301125e-06,1.5341185514574007e-05,5.167947217289526e-05,0.0001746841366444,qwen_existing_deployed_effective,0.0042449924362008,0.050289614805486,-0.0048362830680562,500,qwen_d4_merged_state,0,50
qwen,seqkd,5,E_ood,18,raw residual-stream sample means and centered covariance,32,1.12248641642296,1.0243628166950252,0.9880247530756108,0.9941791239427108,0.9955413022124434,0.9152753949165344,-0.0295380540192127,0.989595353603363,-0.0020054557938078,5,E_ood,5.201076013301125e-06,1.5341185514574007e-05,5.167947217289526e-05,0.0001746841366444,qwen_existing_deployed_effective,0.0033946053454201,0.0456826197041664,-0.0041799333416747,128,qwen_d4_merged_state,0,51
qwen,seqkd,20,E_general,18,raw residual-stream sample means and centered covariance,32,1.0866526994662555,1.015140119075031,0.9925133097157616,0.9951008288143404,0.9962734464361171,0.9364994168281556,-0.007367237471044,0.9999534487724304,0.0028516359801213998,5,E_general,8.867307250121875e-06,2.0640350352810595e-05,7.27533186883454e-05,0.0002136252915078,qwen_existing_deployed_effective,0.0081345689577574,0.0891991320240777,-0.0033315099753963,128,qwen_d4_merged_state,0,52
qwen,seqkd,20,E_if,18,raw residual-stream sample means and centered covariance,32,1.0181075748376445,1.0027742869694265,0.9986157229362916,0.9989383040168144,0.9992447085522737,0.9903454780578612,-0.0037653502076864,0.9999176859855652,-0.0040378803178725995,5,E_if,8.867307250121875e-06,2.0640350352810595e-05,7.27533186883454e-05,0.0002136252915078,qwen_existing_deployed_effective,0.017343781901396,0.139391358459778,-0.0218982475645351,541,qwen_d4_merged_state,0,53
qwen,seqkd,20,E_math,18,raw residual-stream sample means and centered covariance,32,1.0252307427885958,1.0038609039559316,0.998075103362182,0.9984297290927336,0.9988554188886852,0.95662659406662,0.0972389206290245,0.9999388456344604,-0.0026567841385293,5,E_math,8.867307250121875e-06,2.0640350352810595e-05,7.27533186883454e-05,0.0002136252915078,qwen_existing_deployed_effective,0.0120131831597536,0.0816008016299456,0.0014397830162197,500,qwen_d4_merged_state,0,54
qwen,seqkd,20,E_ood,18,raw residual-stream sample means and centered covariance,32,1.1249364811695006,1.025016576609533,0.987708438583279,0.994107644666668,0.9954844086557444,0.9137998819351196,-0.0298405494540929,0.9849898219108582,-0.0032697530058094803,5,E_ood,8.867307250121875e-06,2.0640350352810595e-05,7.27533186883454e-05,0.0002136252915078,qwen_existing_deployed_effective,0.0079595982824685,0.0704033162764972,-0.0070134995830812,128,qwen_d4_merged_state,0,55
qwen,seqkd,40,E_general,18,raw residual-stream sample means and centered covariance,32,1.086760407185636,1.0151799414875382,0.9924938077601176,0.9951040894831018,0.9962789711767176,0.936957597732544,-0.0076185883954167,0.999937117099762,0.0046601969882930205,5,E_general,8.504551942678518e-06,2.038148860654993e-05,7.821849820693963e-05,0.0002306894046861,qwen_existing_deployed_effective,0.0108204599346208,0.1027364564943127,0.0025745370930962,128,qwen_d4_merged_state,0,56
qwen,seqkd,40,E_if,18,raw residual-stream sample means and centered covariance,32,1.0181739619140429,1.0027855023145913,0.9986101383447143,0.9989349973676304,0.9992416094724152,0.9903037548065186,-0.0047601074911653,0.9999536871910096,-0.00231768022810732,5,E_if,8.504551942678518e-06,2.038148860654993e-05,7.821849820693963e-05,0.0002306894046861,qwen_existing_deployed_effective,0.0235984548676738,0.160395352614014,-0.0062782114045436,541,qwen_d4_merged_state,0,57
