model,arm,checkpoint,probe_name,layer,native_object,n_samples,normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0
qwen,sft,40,E_general,18,raw residual-stream sample means and centered covariance,32,1.08670297332658,1.0151251366125407,0.9925206710088115,0.995084288255778,0.9962578560691102,0.9366374611854553,-0.00737602636218071,0.9999790191650391
qwen,sft,40,E_if,18,raw residual-stream sample means and centered covariance,32,1.018237047252609,1.0027963806271887,0.9986047218274495,0.9989305939285849,0.9992394124851826,0.9903060793876648,-0.0042716399766504765,0.9999538660049438
qwen,sft,40,E_math,18,raw residual-stream sample means and centered covariance,32,1.0252551477810066,1.0038657016807966,0.9980727182694021,0.9984280592900617,0.9988550356417483,0.9565715789794922,0.09727862477302551,0.9999880194664001
qwen,sft,40,E_ood,18,raw residual-stream sample means and centered covariance,32,1.1251750120231852,1.0251128377981897,0.9876618058109162,0.9941132018371774,0.9954890215374413,0.9152714014053345,-0.02962307818233967,0.9899406433105469
qwen,sft,160,E_general,18,raw residual-stream sample means and centered covariance,32,1.0862013181317698,1.01513709500336,0.9925146410117831,0.9951728730896786,0.9963272947692026,0.9374983906745911,-0.00728490250185132,0.9997705817222595
qwen,sft,160,E_if,18,raw residual-stream sample means and centered covariance,32,1.0179067478585022,1.0027451716541913,0.9986302200825624,0.9989565003047834,0.999257436858132,0.9903936982154846,-0.001819868222810328,0.9997886419296265
qwen,sft,160,E_math,18,raw residual-stream sample means and centered covariance,32,1.0250382593839547,1.0038323607058985,0.9980892930065186,0.9984448085548322,0.9988686133651077,0.9572858214378357,0.09727088361978531,0.9999406337738037
qwen,sft,160,E_ood,18,raw residual-stream sample means and centered covariance,32,1.1204148790238517,1.0237286028170864,0.9883320350361753,0.9942128551636191,0.9955697677459331,0.9154888987541199,-0.029338626191020012,0.9561163783073425
qwen,offkd,5,E_general,18,raw residual-stream sample means and centered covariance,32,1.0854793893335424,1.014888121413711,0.9926366291090937,0.9951496507577287,0.996309387742256,0.9370787739753723,-0.007233473472297192,0.9999855756759644
qwen,offkd,5,E_if,18,raw residual-stream sample means and centered covariance,32,1.017944385380392,1.0027470390623132,0.9986292910777619,0.9989476300915614,0.9992511985278056,0.9904410243034363,-0.004585137125104666,0.9999701976776123
qwen,offkd,5,E_math,18,raw residual-stream sample means and centered covariance,32,1.024863591952122,1.0038024540026296,0.9981041616346232,0.9984537751794649,0.9988742523475983,0.956916093826294,0.09724383056163788,0.9999858736991882
qwen,offkd,5,E_ood,18,raw residual-stream sample means and centered covariance,32,1.1222367687736208,1.024251830372535,0.9880785989723404,0.9941695632755284,0.9955339723154352,0.9138592481613159,-0.029674241319298744,0.9832736849784851
qwen,offkd,20,E_general,18,raw residual-stream sample means and centered covariance,32,1.0865751770652652,1.01511788346501,0.9925241981641691,0.9951008627670732,0.9962735020503517,0.9363633394241333,-0.007331886328756809,0.9999027252197266
qwen,offkd,20,E_if,18,raw residual-stream sample means and centered covariance,32,1.0179924147259156,1.0027548749692121,0.9986253890622502,0.9989451678623191,0.9992495652340689,0.9903844594955444,-0.003721225541085005,0.9998981356620789
qwen,offkd,20,E_math,18,raw residual-stream sample means and centered covariance,32,1.0251861816815098,1.00385377615483,0.9980786468036236,0.9984324775950549,0.9988575038149891,0.9566006660461426,0.09706419706344604,0.9998881220817566
qwen,offkd,20,E_ood,18,raw residual-stream sample means and centered covariance,32,1.1264809420959538,1.0256579240589072,0.9873976850415027,0.9941445687850677,0.9955126937248496,0.9183846712112427,-0.02924279496073723,0.9991900324821472
qwen,offkd,40,E_general,18,raw residual-stream sample means and centered covariance,32,1.0863812850994314,1.015104498834112,0.9925307101336235,0.9951245919658905,0.9962942897275581,0.9367033243179321,-0.007316323928534985,0.9999439716339111
qwen,offkd,40,E_if,18,raw residual-stream sample means and centered covariance,32,1.0179303039243217,1.0027457119891352,0.9986299516456483,0.99895026011815,0.9992530034604988,0.9903842806816101,-0.0025545801036059856,0.9998624920845032
qwen,offkd,40,E_math,18,raw residual-stream sample means and centered covariance,32,1.0251413523924202,1.003846544933041,0.9980822416568398,0.9984359582520523,0.9988601803445848,0.9568093419075012,0.09719919413328171,0.9999569058418274
