arm,centered_anisotropy,layer,linear_cka_vs_step0,n_samples,native_object,normalized_entropy_effective_rank,participation_ratio,probe,raw_anisotropy,step,top1_explained_share,top32_explained_share,top8_explained_share
opd,0.08347596973180771,7,0.999958872795105,32,raw residual-stream sample means and centered covariance,1.0221475386248868,1.0033557807582913,E_math,0.9578198194503784,160,0.9983263079960969,0.9990155190678636,0.998640430570896
opd,0.06630601733922958,14,0.9999573826789856,32,raw residual-stream sample means and centered covariance,1.0451134181889288,1.0072425605927997,E_math,0.9216825366020203,160,0.9963982080495734,0.9979433568178784,0.9971126706203095
opd,0.03305913507938385,21,0.999841570854187,32,raw residual-stream sample means and centered covariance,1.1678607492059554,1.029663481709641,E_math,0.8839220404624939,160,0.985488895648478,0.9923461561676703,0.9889125563506752
opd,-0.012166902422904968,7,0.999992311000824,30,raw residual-stream sample means and centered covariance,1.0563972275991584,1.008926069417539,E_math_hard_v2,0.8184329867362976,160,0.9955665452860836,0.9972652287539483,0.9963402768408396
opd,-0.011814314872026443,14,0.9999498724937439,30,raw residual-stream sample means and centered covariance,1.1187547290012405,1.0198218051557546,E_math_hard_v2,0.8057630062103271,160,0.9902335966571423,0.9941876378220798,0.9921690475901465
opd,-0.01964132860302925,21,0.9989750385284424,30,raw residual-stream sample means and centered covariance,1.4648220223458908,1.0813845283166064,E_math_hard_v2,0.8409278988838196,160,0.961625288736118,0.9786685207352015,0.970352987010466
opd,0.0014699801104143262,7,0.9999372959136963,128,raw residual-stream sample means and centered covariance,1.0879733093443853,1.0137716223983861,E_ood,0.844574511051178,160,0.9931842943411741,0.9955460772380776,0.994492597885939
opd,-0.0027765955310314894,14,0.999681293964386,128,raw residual-stream sample means and centered covariance,1.2065718332563098,1.0338466101500126,E_ood,0.8028772473335266,160,0.9834932355172143,0.9894879743671641,0.9867600484331194
opd,-0.004310219082981348,21,0.9974452257156372,128,raw residual-stream sample means and centered covariance,1.9193010306659002,1.1441759836482104,E_ood,0.8003042340278625,160,0.93485643829016,0.9581393708846676,0.9473173348244543
opd,0.014338650740683079,7,0.9999145269393921,541,raw residual-stream sample means and centered covariance,1.0248698197024424,1.003605109444365,E_if,0.9846867918968201,160,0.9982022922219184,0.9988223266957669,0.9985244360546149
opd,0.012370294891297817,14,0.9998936653137207,541,raw residual-stream sample means and centered covariance,1.0573295188220906,1.008847446198064,E_if,0.9650490880012512,160,0.9956053439103313,0.9971630363384222,0.9963882990143222
opd,0.006596204359084368,21,0.999029278755188,541,raw residual-stream sample means and centered covariance,1.2248594648137079,1.0372042332878484,E_if,0.9353921413421631,160,0.9818999080892078,0.9887441801168013,0.9854930820975497
opd,0.0023452371824532747,7,0.9999679327011108,128,raw residual-stream sample means and centered covariance,1.0914547360931441,1.0138512455979996,E_general,0.8773642182350159,160,0.9931454150261285,0.9949124263033422,0.9939377252236449
opd,-0.0024393750354647636,14,0.9999292492866516,128,raw residual-stream sample means and centered covariance,1.2152816318331103,1.0341850835355673,E_general,0.807498574256897,160,0.9833329286471203,0.9882166621588503,0.9855038384369176
opd,-0.006757484283298254,21,0.9994701743125916,128,raw residual-stream sample means and centered covariance,2.0730129800851533,1.1621696991124408,E_general,0.7653052806854248,160,0.9275913637136941,0.9514205991266992,0.939595593538207
sft,-0.01087023876607418,7,0.9988262057304382,32,raw residual-stream sample means and centered covariance,177.7699743313032,39.14070590516538,S_math,0.48898136615753174,5,0.12314124042048694,0.5407821500424325,0.3362499734766204
sft,-0.013856868259608746,14,0.9995710253715515,32,raw residual-stream sample means and centered covariance,175.16566988900237,32.71018237904891,S_math,0.5135920643806458,5,0.14968838508053078,0.5334705046113396,0.33067898091705206
sft,-0.014787348918616772,21,0.9994593262672424,32,raw residual-stream sample means and centered covariance,179.39673112006108,44.625404417970024,S_math,0.672726035118103,5,0.11171387464597098,0.5308067378669018,0.31134710917488473
sft,0.08353811502456665,7,0.9999983906745911,32,raw residual-stream sample means and centered covariance,1.021863807875148,1.003294236863659,E_math,0.9596311450004578,5,0.9983569283858013,0.9990117832825988,0.9986543739074619
sft,0.06584710627794266,14,0.9999986886978149,32,raw residual-stream sample means and centered covariance,1.0459152921822912,1.0073541973566897,E_math,0.9230088591575623,5,0.9963429958532923,0.9978805093618746,0.997053453791808
sft,0.033314988017082214,21,0.9999968409538269,32,raw residual-stream sample means and centered covariance,1.1770220958091295,1.0310755613035087,E_math,0.8738667368888855,5,0.9848138402654432,0.9917300455573339,0.9882372952758768
sft,-0.012248039245605469,7,0.9999983310699463,30,raw residual-stream sample means and centered covariance,1.0558635760373587,1.0087903082502276,E_math_hard_v2,0.816044270992279,5,0.9956335406005631,0.9972569347880282,0.9963711057103665
sft,-0.012005847878754139,14,0.9999974966049194,30,raw residual-stream sample means and centered covariance,1.1194089349698344,1.0198261518943488,E_math_hard_v2,0.7892523407936096,5,0.9902315024492548,0.994079081143582,0.9921331373486159
sft,-0.01871030032634735,21,0.9999630451202393,30,raw residual-stream sample means and centered covariance,1.481491258359545,1.0829874900190528,E_math_hard_v2,0.8080974817276001,5,0.9609140011422771,0.9773587304954123,0.9693425187502019
sft,0.0013614536728709936,7,0.999994695186615,128,raw residual-stream sample means and centered covariance,1.0872364663508205,1.0135635276507466,E_ood,0.8416446447372437,5,0.9932862691766638,0.9955209668628963,0.9945117017408354
sft,-0.002819810761138797,14,0.9999860525131226,128,raw residual-stream sample means and centered covariance,1.2082620545247724,1.0339442849380909,E_ood,0.7870262861251831,5,0.9834468370631015,0.9893100063207457,0.9866449860627785
sft,-0.004573947750031948,21,0.9999305009841919,128,raw residual-stream sample means and centered covariance,1.9520149443553765,1.1476211043291968,E_ood,0.7780185341835022,5,0.9334525596899221,0.9564976022875948,0.945743768098337
sft,0.014354338869452477,7,0.9999979138374329,541,raw residual-stream sample means and centered covariance,1.0245695522384246,1.003544018180536,E_if,0.9853039383888245,5,0.9982326759511427,0.9988265681602776,0.9985379506018676
sft,0.012218145653605461,14,0.9999962449073792,541,raw residual-stream sample means and centered covariance,1.0584048447059597,1.0089770992397067,E_if,0.9648866057395935,5,0.9955413770647094,0.997073756329748,0.9963037304622183
sft,0.0063741328194737434,21,0.9999647736549377,541,raw residual-stream sample means and centered covariance,1.2344548958467219,1.0384965630488552,E_if,0.9303495287895203,5,0.9812887884420977,0.9880947531526504,0.9848363928361743
sft,0.0024060432333499193,7,0.999997079372406,128,raw residual-stream sample means and centered covariance,1.090911489280832,1.013748636789652,E_general,0.8784500360488892,5,0.9931956772789707,0.9949378690772591,0.9939806226569077
sft,-0.002500058151781559,14,0.9999952912330627,128,raw residual-stream sample means and centered covariance,1.2185876690755622,1.0346211776069272,E_general,0.795427680015564,5,0.9831256752982173,0.9879969384546097,0.9852862090954454
sft,-0.006780765950679779,21,0.99997878074646,128,raw residual-stream sample means and centered covariance,2.106835991105825,1.16582304074868,E_general,0.7411362528800964,5,0.9261368991417127,0.9499212452263693,0.9380826351767516
sft,-0.010418957099318504,7,0.9934671521186829,32,raw residual-stream sample means and centered covariance,172.28870278200682,38.44596753170737,S_math,0.48584049940109253,20,0.12065381289336884,0.5457931112869647,0.33989285514069445
sft,-0.014908449724316597,14,0.9966911673545837,32,raw residual-stream sample means and centered covariance,172.75499526772253,32.391900351215554,S_math,0.5050157904624939,20,0.15029357103696717,0.536948538279249,0.3325509783581834
sft,-0.015816032886505127,21,0.9962347149848938,32,raw residual-stream sample means and centered covariance,180.0736663937482,45.06414124364465,S_math,0.6707357168197632,20,0.11106136400888744,0.5306305313600207,0.3104002612539579
sft,0.08207293599843979,7,0.9999812245368958,32,raw residual-stream sample means and centered covariance,1.0222804215228005,1.0033654213716776,E_math,0.9590741991996765,20,0.9983215125483311,0.9989964991861764,0.9986263151910106
sft,0.06499863415956497,14,0.9999815225601196,32,raw residual-stream sample means and centered covariance,1.0461603030106972,1.0074048627008865,E_math,0.9215876460075378,20,0.9963179391405078,0.9978780212906232,0.9970397309786746
sft,0.033623095601797104,21,0.9999662637710571,32,raw residual-stream sample means and centered covariance,1.1751182162004838,1.030749151102554,E_math,0.8740893602371216,20,0.9849697794993624,0.9918418652185387,0.9883734122193047
sft,-0.012281455099582672,7,0.9999964833259583,30,raw residual-stream sample means and centered covariance,1.0567979164550627,1.008957667052304,E_math_hard_v2,0.817234218120575,20,0.9955509596997754,0.9972150236107241,0.9963035133532334
sft,-0.012020637281239033,14,0.9999924302101135,30,raw residual-stream sample means and centered covariance,1.120638077635086,1.02006992091142,E_math_hard_v2,0.7901198863983154,20,0.9901131593666197,0.9940398225992944,0.9920519880828694
sft,-0.0184968002140522,21,0.9998692870140076,30,raw residual-stream sample means and centered covariance,1.477775367724722,1.0824440406195488,E_math_hard_v2,0.8102060556411743,20,0.9611552420151994,0.9775594210341316,0.9695710788247743
sft,0.0013078254414722323,7,0.9999810457229614,128,raw residual-stream sample means and centered covariance,1.0886070231660947,1.0137944120771059,E_ood,0.8399567604064941,20,0.9931731498825283,0.9954484386971246,0.9944190026577091
sft,-0.0029613333754241467,14,0.9998685121536255,128,raw residual-stream sample means and centered covariance,1.2127140381456625,1.0347304532556683,E_ood,0.784090518951416,20,0.9830730928360163,0.9891101223146709,0.9863550066961825
sft,-0.004541365895420313,21,0.9994993209838867,128,raw residual-stream sample means and centered covariance,1.956710392556502,1.1483967101529122,E_ood,0.7786716222763062,20,0.9331370193763271,0.9563498752100302,0.9454930269774896
