model,family,arm,checkpoint,step,layer,module,source_rank_k,mask_density_alpha,principal_top_count,update_count,total_entries,update_density,overlap_count,coverage,overlap_lift,random_null_type,random_null_rank,random_null_seeds,random_null_overlap_lift_mean,random_null_overlap_lift_std,overlap_lift_minus_random_null,delta_construction,native_source,checkpoint_materialization,base_tensor_sha256,checkpoint_tensor_sha256
llama,llama3_2_3b,opd,320,320,14,self_attn.q_proj,16,0.01,94372,6587756,9437184,0.6980637444390191,35245,0.0053500767180812,0.5350067647464162,rank32_norm_matched_lowrank_bf16_mask,32,3,0.6285901614388147,0.0049081317025719,-0.0935833966923985,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,8dfc00b00936602664a1f6053caed904e0e333a3c307de9f4fc0d071a5b3a214
llama,llama3_2_3b,opd,320,320,14,self_attn.q_proj,16,0.1,943718,6587756,9437184,0.6980637444390191,526639,0.0799420925729489,0.799421264568391,rank32_norm_matched_lowrank_bf16_mask,32,3,0.8398927194199123,0.0012107130475866,-0.0404714548515212,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,8dfc00b00936602664a1f6053caed904e0e333a3c307de9f4fc0d071a5b3a214
llama,llama3_2_3b,opd,320,320,14,self_attn.q_proj,32,0.01,94372,6587756,9437184,0.6980637444390191,30003,0.0045543581152671,0.455435039372584,rank32_norm_matched_lowrank_bf16_mask,32,3,0.5307994938390841,0.0030472891194839,-0.0753644544665,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,8dfc00b00936602664a1f6053caed904e0e333a3c307de9f4fc0d071a5b3a214
llama,llama3_2_3b,opd,320,320,14,self_attn.q_proj,32,0.1,943718,6587756,9437184,0.6980637444390191,503047,0.0763609034700131,0.7636093583599683,rank32_norm_matched_lowrank_bf16_mask,32,3,0.8038135917002829,0.0009484902641442,-0.0402042333403145,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,8dfc00b00936602664a1f6053caed904e0e333a3c307de9f4fc0d071a5b3a214
llama,llama3_2_3b,opd,320,320,14,self_attn.q_proj,50,0.01,94372,6587756,9437184,0.6980637444390191,25657,0.0038946494071729,0.3894642804113718,rank32_norm_matched_lowrank_bf16_mask,32,3,0.4496888480659747,0.0027074257138538,-0.0602245676546028,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,8dfc00b00936602664a1f6053caed904e0e333a3c307de9f4fc0d071a5b3a214
llama,llama3_2_3b,opd,320,320,14,self_attn.q_proj,50,0.1,943718,6587756,9437184,0.6980637444390191,483348,0.0733706591440241,0.7337069024257654,rank32_norm_matched_lowrank_bf16_mask,32,3,0.7740876528756329,0.0010450246706393,-0.0403807504498674,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,8dfc00b00936602664a1f6053caed904e0e333a3c307de9f4fc0d071a5b3a214
llama,llama3_2_3b,sft,5,5,14,self_attn.q_proj,16,0.01,94372,1982436,9437184,0.2100664774576822,5867,0.0029594902433168,0.2959485225743387,rank32_norm_matched_lowrank_bf16_mask,32,3,0.2699998938739958,0.0007608526718037,0.0259486287003428,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,9090226ef7ea860cbda17df9fa6d2fbdb16091b2a36c7b2b5510ce9e849c5980
llama,llama3_2_3b,sft,5,5,14,self_attn.q_proj,16,0.1,943718,1982436,9437184,0.2100664774576822,120355,0.0607106610251226,0.6071068675766604,rank32_norm_matched_lowrank_bf16_mask,32,3,0.5662724392286669,0.0017999819650047,0.0408344283479935,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,9090226ef7ea860cbda17df9fa6d2fbdb16091b2a36c7b2b5510ce9e849c5980
llama,llama3_2_3b,sft,5,5,14,self_attn.q_proj,32,0.01,94372,1982436,9437184,0.2100664774576822,4257,0.0021473580988238,0.2147354458154013,rank32_norm_matched_lowrank_bf16_mask,32,3,0.199558160490607,0.0016414440158442,0.0151772853247943,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,9090226ef7ea860cbda17df9fa6d2fbdb16091b2a36c7b2b5510ce9e849c5980
llama,llama3_2_3b,sft,5,5,14,self_attn.q_proj,32,0.1,943718,1982436,9437184,0.2100664774576822,106545,0.0537444840590061,0.5374450683889767,rank32_norm_matched_lowrank_bf16_mask,32,3,0.5015748488195277,0.0012558477267409,0.0358702195694489,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,9090226ef7ea860cbda17df9fa6d2fbdb16091b2a36c7b2b5510ce9e849c5980
