model,family,arm,checkpoint,step,layer,module,source_rank_k,mask_density_alpha,real_overlap_lift,null_overlap_lift_mean,null_overlap_lift_std,null_update_count_mean,delta_singular_values_used,z_tpnt,spectrum_null_seeds
llama,llama3_2_3b,opd,20,20,14,mlp.up_proj,16,0.01,0.9211562902587668,0.9066431180580452,0.0051630846721023,12287403.7,3072,2.810949872493972,10
llama,llama3_2_3b,opd,20,20,14,mlp.up_proj,16,0.1,0.998819803628784,0.9887175673842872,0.0024528572925932,12287403.7,3072,4.118558497064629,10
llama,llama3_2_3b,opd,20,20,14,mlp.up_proj,32,0.01,0.8595402090216794,0.8453498853675672,0.0044080128188194,12287403.7,3072,3.2192110679734194,10
llama,llama3_2_3b,opd,20,20,14,mlp.up_proj,32,0.1,0.9681577853217396,0.958537674970823,0.0018055658754802,12287403.7,3072,5.328030664269018,10
llama,llama3_2_3b,opd,20,20,14,mlp.up_proj,50,0.01,0.8054879760435488,0.7938677917376482,0.0036224798512505,12287403.7,3072,3.207798188826138,10
llama,llama3_2_3b,opd,20,20,14,mlp.up_proj,50,0.1,0.9382199822266392,0.9297994728794764,0.0017153589083223,12287403.7,3072,4.908890673729721,10
llama,llama3_2_3b,opd,20,20,14,self_attn.k_proj,16,0.01,0.3738136574194538,0.3600338080108717,0.009383001851931,1079022.5,1024,1.4685971106086984,10
llama,llama3_2_3b,opd,20,20,14,self_attn.k_proj,16,0.1,0.730410116300643,0.7258292735567945,0.0035199488042047,1079022.5,1024,1.3013947073254115,10
llama,llama3_2_3b,opd,20,20,14,self_attn.k_proj,32,0.01,0.243441517987768,0.2400638714240059,0.0040873653223897,1079022.5,1024,0.8263627783061512,10
llama,llama3_2_3b,opd,20,20,14,self_attn.k_proj,32,0.1,0.6111609957168744,0.6179161375930983,0.0022438788110618,1079022.5,1024,-3.010475362092828,10
llama,llama3_2_3b,opd,20,20,14,self_attn.k_proj,50,0.01,0.1375893338076059,0.1393141655319742,0.0036032165357365,1079022.5,1024,-0.4786922204817653,10
