model,arm,checkpoint,source_rank_k,mask_density_alpha,mean_overlap_lift,mean_coverage
qwen,opd,320,50,0.1,0.8760642999759091,0.08760642999759087
qwen,opd,320,50,0.2,0.9223453200521412,0.18446906401042823
qwen,seqkd,20,16,0.01,0.6084348044044281,0.006084336599171242
qwen,seqkd,20,16,0.05,0.8037434994829671,0.0401871749741483
qwen,seqkd,20,16,0.1,0.8707239597059953,0.08707239597059949
qwen,seqkd,20,16,0.2,0.9235363667224931,0.18470727334449857
qwen,seqkd,20,32,0.01,0.504684431410788,0.0050468373597922995
qwen,seqkd,20,32,0.05,0.7246696711143488,0.036233483555717386
qwen,seqkd,20,32,0.1,0.8092043358158867,0.08092043358158862
qwen,seqkd,20,32,0.2,0.8809744654438035,0.17619489308876066
qwen,seqkd,20,50,0.01,0.4383527113095367,0.004383522163084385
qwen,seqkd,20,50,0.05,0.6616511890106579,0.03308255945053286
qwen,seqkd,20,50,0.1,0.7556820358125308,0.07556820358125303
qwen,seqkd,20,50,0.2,0.8413403947550832,0.16826807895101656
qwen,seqkd,160,16,0.01,0.7300997451541565,0.0073009817844032565
qwen,seqkd,160,16,0.05,0.8727948431940694,0.04363974215970343
qwen,seqkd,160,16,0.1,0.9185937806072164,0.09185937806072157
qwen,seqkd,160,16,0.2,0.9531889780197106,0.19063779560394206
qwen,seqkd,160,32,0.01,0.6623310082775894,0.006623297699271629
qwen,seqkd,160,32,0.05,0.8271820191768873,0.041359100958844305
qwen,seqkd,160,32,0.1,0.8830918612645899,0.08830918612645892
qwen,seqkd,160,32,0.2,0.9288441509315988,0.18576883018631976
qwen,seqkd,160,50,0.01,0.6152840502359807,0.006152829824002185
qwen,seqkd,160,50,0.05,0.7872598761799611,0.03936299380899801
qwen,seqkd,160,50,0.1,0.8510835333977902,0.08510835333977897
qwen,seqkd,160,50,0.2,0.9062011453953286,0.1812402290790657
qwen,seqkd,320,16,0.01,0.7763653884401144,0.007763636076431814
qwen,seqkd,320,16,0.05,0.8967795903206454,0.04483897951603222
qwen,seqkd,320,16,0.1,0.934288751926912,0.09342887519269115
qwen,seqkd,320,16,0.2,0.9625211801429591,0.1925042360285918
qwen,seqkd,320,32,0.01,0.7196717505367806,0.0071967025248689575
qwen,seqkd,320,32,0.05,0.860070727794585,0.04300353638972921
qwen,seqkd,320,32,0.1,0.9067442560769354,0.0906744256076935
qwen,seqkd,320,32,0.2,0.944009774086305,0.188801954817261
qwen,seqkd,320,50,0.01,0.6794514099798035,0.006794500783898915
qwen,seqkd,320,50,0.05,0.8290903769584946,0.041454518847924685
qwen,seqkd,320,50,0.1,0.8818836991047656,0.08818836991047652
qwen,seqkd,320,50,0.2,0.9265699211221544,0.18531398422443088
qwen,sft,20,16,0.01,0.4811632949996977,0.004811627393901172
qwen,sft,20,16,0.05,0.7108686055523423,0.03554343027761709
qwen,sft,20,16,0.1,0.7991861850773967,0.07991861850773962
qwen,sft,20,16,0.2,0.8743453965154199,0.17486907930308396
qwen,sft,20,32,0.01,0.3766805472074021,0.003766803576344257
qwen,sft,20,32,0.05,0.6135414286019799,0.030677071430098957
qwen,sft,20,32,0.1,0.7174357387361552,0.07174357387361548
qwen,sft,20,32,0.2,0.8133266736704794,0.16266533473409583
qwen,sft,20,50,0.01,0.3107528808617375,0.0031075283078730856
