model,layer,arm,checkpoint,source_rank_k,mask_density_alpha,mean_overlap_lift,mean_pabs_joint_cos,mean_nss_l1_top32,headline_mean_overlap_lift,headline_mean_pabs_joint_cos,headline_mean_nss_l1_top32,overlap_lift_minus_headline,pabs_cos_minus_headline,nss_l1_minus_headline,overlap_rank_desc
llama,14,offkd,20,50,0.01,0.43236229780331764,0.9997834400799507,5.310718836602987e-05,0.43236229780331764,0.9997834400799507,5.310718836602987e-05,0.0,0.0,0.0,3.0
llama,14,opd,20,50,0.01,0.4672953734466244,0.9997853952993921,5.2190276432220444e-05,0.4672953734466244,0.9997853952993921,5.2190276432220444e-05,0.0,0.0,0.0,2.0
llama,14,seqkd,20,50,0.01,0.42665618604566663,0.999784115311627,5.170724003709431e-05,0.42665618604566663,0.999784115311627,5.170724003709431e-05,0.0,0.0,0.0,4.0
llama,14,sft,20,50,0.01,0.4788028188203003,0.9997844294957355,4.7287975121688775e-05,0.4788028188203003,0.9997844294957355,4.7287975121688775e-05,0.0,0.0,0.0,1.0
llama,14,offkd,20,50,0.1,0.7502997976230701,0.9997834400799507,5.310718836602987e-05,0.7502997976230701,0.9997834400799507,5.310718836602987e-05,0.0,0.0,0.0,3.0
llama,14,opd,20,50,0.1,0.7715442284091844,0.9997853952993921,5.2190276432220444e-05,0.7715442284091844,0.9997853952993921,5.2190276432220444e-05,0.0,0.0,0.0,2.0
llama,14,seqkd,20,50,0.1,0.7469272052807882,0.999784115311627,5.170724003709431e-05,0.7469272052807882,0.999784115311627,5.170724003709431e-05,0.0,0.0,0.0,4.0
llama,14,sft,20,50,0.1,0.7780806750911625,0.9997844294957355,4.7287975121688775e-05,0.7780806750911625,0.9997844294957355,4.7287975121688775e-05,0.0,0.0,0.0,1.0
llama,14,offkd,160,16,0.01,0.7459680694629628,0.9997849858274117,6.42333994136533e-05,0.7459680694629628,0.9997849858274117,6.42333994136533e-05,0.0,0.0,0.0,2.0
llama,14,opd,160,16,0.01,0.7405387510953795,0.9997736966015373,6.620528949362424e-05,0.7405387510953795,0.9997736966015373,6.620528949362424e-05,0.0,0.0,0.0,4.0
llama,14,seqkd,160,16,0.01,0.7439976284427325,0.9997870976611573,6.103130726453334e-05,0.7439976284427325,0.9997870976611573,6.103130726453334e-05,0.0,0.0,0.0,3.0
llama,14,sft,160,16,0.01,0.8075712293255063,0.9997539250646216,9.390297575982995e-05,0.8075712293255063,0.9997539250646216,9.390297575982995e-05,0.0,0.0,0.0,1.0
llama,14,offkd,160,16,0.1,0.9099853335339221,0.9997849858274117,6.42333994136533e-05,0.9099853335339221,0.9997849858274117,6.42333994136533e-05,0.0,0.0,0.0,3.0
llama,14,opd,160,16,0.1,0.9103671641510703,0.9997736966015373,6.620528949362424e-05,0.9103671641510703,0.9997736966015373,6.620528949362424e-05,0.0,0.0,0.0,2.0
llama,14,seqkd,160,16,0.1,0.9098373127045206,0.9997870976611573,6.103130726453334e-05,0.9098373127045206,0.9997870976611573,6.103130726453334e-05,0.0,0.0,0.0,4.0
llama,14,sft,160,16,0.1,0.9352660673588103,0.9997539250646216,9.390297575982995e-05,0.9352660673588103,0.9997539250646216,9.390297575982995e-05,0.0,0.0,0.0,1.0
llama,14,offkd,160,32,0.01,0.6684495223222459,0.9997849858274117,6.42333994136533e-05,0.6684495223222459,0.9997849858274117,6.42333994136533e-05,0.0,0.0,0.0,3.0
llama,14,opd,160,32,0.01,0.6687214059735352,0.9997736966015373,6.620528949362424e-05,0.6687214059735352,0.9997736966015373,6.620528949362424e-05,0.0,0.0,0.0,2.0
llama,14,seqkd,160,32,0.01,0.6676862291839739,0.9997870976611573,6.103130726453334e-05,0.6676862291839739,0.9997870976611573,6.103130726453334e-05,0.0,0.0,0.0,4.0
llama,14,sft,160,32,0.01,0.7456362065109667,0.9997539250646216,9.390297575982995e-05,0.7456362065109667,0.9997539250646216,9.390297575982995e-05,0.0,0.0,0.0,1.0
llama,14,offkd,160,32,0.1,0.875733792782904,0.9997849858274117,6.42333994136533e-05,0.875733792782904,0.9997849858274117,6.42333994136533e-05,0.0,0.0,0.0,3.0
llama,14,opd,160,32,0.1,0.8784457086545198,0.9997736966015373,6.620528949362424e-05,0.8784457086545198,0.9997736966015373,6.620528949362424e-05,0.0,0.0,0.0,2.0
