family,model,arm,step,checkpoint,layer,module,rank_fraction,k,rank_spec_kind,p_k,delta_construction,native_source,checkpoint_materialization,source_svd_dtype,projection_dtype,base_tensor_sha256,checkpoint_tensor_sha256,checkpoint_root
llama3_2_3b,llama,sft,320,320,14,self_attn.q_proj,0.0013020833333333333,4,fixed_k,7.32735643396154e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,3139dfe98318bf93401c5219db28e4ce7de31ea78c1563c17bfc0e4a0d636fd9,/root/autodl-tmp/cycle09_block3/llama_models/merged/sft/step_320
llama3_2_3b,llama,sft,320,320,14,self_attn.q_proj,0.0026041666666666665,8,fixed_k,0.00014722536434419453,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,3139dfe98318bf93401c5219db28e4ce7de31ea78c1563c17bfc0e4a0d636fd9,/root/autodl-tmp/cycle09_block3/llama_models/merged/sft/step_320
llama3_2_3b,llama,sft,320,320,14,self_attn.q_proj,0.005208333333333333,16,fixed_k,0.0002921384002547711,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,3139dfe98318bf93401c5219db28e4ce7de31ea78c1563c17bfc0e4a0d636fd9,/root/autodl-tmp/cycle09_block3/llama_models/merged/sft/step_320
llama3_2_3b,llama,sft,320,320,14,self_attn.q_proj,0.010416666666666666,32,fixed_k,0.000490640290081501,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,3139dfe98318bf93401c5219db28e4ce7de31ea78c1563c17bfc0e4a0d636fd9,/root/autodl-tmp/cycle09_block3/llama_models/merged/sft/step_320
llama3_2_3b,llama,offkd,5,5,14,self_attn.q_proj,0.0013020833333333333,4,fixed_k,4.01886745748925e-06,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,2b360cd10bbb66bee6b0490eb8625149ef7790a1c4adb2e805ae3d6bcee42ed6,/root/autodl-tmp/cycle09_block3/llama_models/merged/offkd/step_005
llama3_2_3b,llama,offkd,5,5,14,self_attn.q_proj,0.0026041666666666665,8,fixed_k,1.012864686344983e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,2b360cd10bbb66bee6b0490eb8625149ef7790a1c4adb2e805ae3d6bcee42ed6,/root/autodl-tmp/cycle09_block3/llama_models/merged/offkd/step_005
llama3_2_3b,llama,offkd,5,5,14,self_attn.q_proj,0.005208333333333333,16,fixed_k,2.756864341790788e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,2b360cd10bbb66bee6b0490eb8625149ef7790a1c4adb2e805ae3d6bcee42ed6,/root/autodl-tmp/cycle09_block3/llama_models/merged/offkd/step_005
llama3_2_3b,llama,offkd,5,5,14,self_attn.q_proj,0.010416666666666666,32,fixed_k,9.016454714583233e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,2b360cd10bbb66bee6b0490eb8625149ef7790a1c4adb2e805ae3d6bcee42ed6,/root/autodl-tmp/cycle09_block3/llama_models/merged/offkd/step_005
llama3_2_3b,llama,offkd,20,20,14,self_attn.q_proj,0.0013020833333333333,4,fixed_k,4.5730344027106185e-06,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,9098bd351dcba727ff769ae49e0eeb73eaafedd37ae7da7b13780128d52c0f9f,/root/autodl-tmp/cycle09_block3/llama_models/merged/offkd/step_020
llama3_2_3b,llama,offkd,20,20,14,self_attn.q_proj,0.0026041666666666665,8,fixed_k,1.3549729374062736e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,9098bd351dcba727ff769ae49e0eeb73eaafedd37ae7da7b13780128d52c0f9f,/root/autodl-tmp/cycle09_block3/llama_models/merged/offkd/step_020
