model,family,arm,checkpoint,step,layer,module,source_rank_k,mask_density_alpha,principal_top_count,update_count,total_entries,update_density,overlap_count,coverage,overlap_lift,random_null_type,random_null_rank,random_null_seeds,random_null_overlap_lift_mean,random_null_overlap_lift_std,overlap_lift_minus_random_null,delta_construction,native_source,checkpoint_materialization,base_tensor_sha256,checkpoint_tensor_sha256
llama,llama3_2_3b,sft,320,320,14,self_attn.q_proj,16,0.01,94372,7465513,9437184,0.7910742229885526,52633,0.0070501518114026,0.7050139858447427,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.7144508621187313,0.0016959548237573,-0.0094368762739885,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,3139dfe98318bf93401c5219db28e4ce7de31ea78c1563c17bfc0e4a0d636fd9
llama,llama3_2_3b,sft,320,320,14,self_attn.q_proj,16,0.1,943718,7465513,9437184,0.7910742229885526,654987,0.0877350290596239,0.877350662465925,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.88163919319227,0.0003949550658724,-0.004288530726345,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,3139dfe98318bf93401c5219db28e4ce7de31ea78c1563c17bfc0e4a0d636fd9
llama,llama3_2_3b,sft,320,320,14,self_attn.q_proj,32,0.01,94372,7465513,9437184,0.7910742229885526,45890,0.0061469318987188,0.6146921477099014,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.6275492910464414,0.0016402873344005,-0.0128571433365399,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,3139dfe98318bf93401c5219db28e4ce7de31ea78c1563c17bfc0e4a0d636fd9
llama,llama3_2_3b,sft,320,320,14,self_attn.q_proj,32,0.1,943718,7465513,9437184,0.7910742229885526,632191,0.0846815215511646,0.8468155744388752,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.8530277697539224,0.000536432209153,-0.0062121953150471,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,3139dfe98318bf93401c5219db28e4ce7de31ea78c1563c17bfc0e4a0d636fd9
llama,llama3_2_3b,sft,320,320,14,self_attn.q_proj,50,0.01,94372,7465513,9437184,0.7910742229885526,40351,0.0054049869044498,0.5404977740737031,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.5584874097046276,0.001699268205665,-0.0179896356309244,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,3139dfe98318bf93401c5219db28e4ce7de31ea78c1563c17bfc0e4a0d636fd9
llama,llama3_2_3b,sft,320,320,14,self_attn.q_proj,50,0.1,943718,7465513,9437184,0.7910742229885526,613474,0.0821743931060062,0.8217442793606909,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.8303885476436891,0.0005852804859616,-0.0086442682829981,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,3139dfe98318bf93401c5219db28e4ce7de31ea78c1563c17bfc0e4a0d636fd9
llama,llama3_2_3b,offkd,20,20,14,self_attn.q_proj,16,0.01,94372,3275653,9437184,0.3471006817287869,10995,0.00335658264169,0.3356576950878995,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.3177515729687856,0.0026918225502293,0.0179061221191138,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,9098bd351dcba727ff769ae49e0eeb73eaafedd37ae7da7b13780128d52c0f9f
llama,llama3_2_3b,offkd,20,20,14,self_attn.q_proj,16,0.1,943718,3275653,9437184,0.3471006817287869,213558,0.0651955503223326,0.6519557795582078,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.6299493665088279,0.0015737201293927,0.0220064130493798,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,9098bd351dcba727ff769ae49e0eeb73eaafedd37ae7da7b13780128d52c0f9f
llama,llama3_2_3b,offkd,20,20,14,self_attn.q_proj,32,0.01,94372,3275653,9437184,0.3471006817287869,7984,0.0024373766085723,0.2437372476199899,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.2360128917336771,0.002549058760099,0.0077243558863128,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,9098bd351dcba727ff769ae49e0eeb73eaafedd37ae7da7b13780128d52c0f9f
llama,llama3_2_3b,offkd,20,20,14,self_attn.q_proj,32,0.1,943718,3275653,9437184,0.3471006817287869,190970,0.0582998260194226,0.582998507301206,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.5653313631852798,0.0014080282832013,0.0176671441159261,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,9098bd351dcba727ff769ae49e0eeb73eaafedd37ae7da7b13780128d52c0f9f
