model,checkpoint,probe_name,epsilon,metric,opd_deepest,deepest_arm,opd_value,nearest_offline_value,opd_minus_nearest_offline_margin,arm_values_json
llama,40,E_if,0.025,entropy_effective_rank_contraction,True,opd,14.669989618729058,6.276977934284907,8.39301168444415,"{""offkd"": 3.458551272764398, ""opd"": 14.669989618729058, ""seqkd"": 3.0093432671215936, ""sft"": 6.276977934284907}"
llama,40,E_math,0.025,absolute_contraction,True,opd,16.142857142857142,6.285714285714286,9.857142857142858,"{""offkd"": 1.8571428571428572, ""opd"": 16.142857142857142, ""seqkd"": 0.42857142857142855, ""sft"": 6.285714285714286}"
llama,40,E_math,0.025,stable_rank_contraction,True,opd,0.33901551041378264,0.1618339578789417,0.17718155253484094,"{""offkd"": 0.03187731939358437, ""opd"": 0.33901551041378264, ""seqkd"": 0.008699604403868997, ""sft"": 0.1618339578789417}"
llama,40,E_math,0.025,entropy_effective_rank_contraction,True,opd,8.435200346076938,3.780662033327911,4.654538312749027,"{""offkd"": 0.4056322867850267, ""opd"": 8.435200346076938, ""seqkd"": -0.24448029211174166, ""sft"": 3.780662033327911}"
llama,40,E_ood,0.025,absolute_contraction,True,opd,22.857142857142858,6.142857142857143,16.714285714285715,"{""offkd"": 5.571428571428571, ""opd"": 22.857142857142858, ""seqkd"": 3.5714285714285716, ""sft"": 6.142857142857143}"
llama,40,E_ood,0.025,stable_rank_contraction,True,opd,0.32361049767707284,0.11574671529168416,0.20786378238538866,"{""offkd"": 0.07442094949818553, ""opd"": 0.32361049767707284, ""seqkd"": 0.054469035627744126, ""sft"": 0.11574671529168416}"
llama,40,E_ood,0.025,entropy_effective_rank_contraction,True,opd,12.747061222493913,3.96525324894913,8.781807973544783,"{""offkd"": 2.3809222597586603, ""opd"": 12.747061222493913, ""seqkd"": 1.621315380375623, ""sft"": 3.96525324894913}"
llama,80,E_general,0.025,absolute_contraction,True,opd,14.428571428571429,5.714285714285714,8.714285714285715,"{""offkd"": 2.5714285714285716, ""opd"": 14.428571428571429, ""seqkd"": -0.2857142857142857, ""sft"": 5.714285714285714}"
llama,80,E_general,0.025,stable_rank_contraction,True,opd,0.4660705187134438,0.28196498083700794,0.18410553787643585,"{""offkd"": 0.0931373186529852, ""opd"": 0.4660705187134438, ""seqkd"": 0.021685277397448015, ""sft"": 0.28196498083700794}"
llama,80,E_general,0.025,entropy_effective_rank_contraction,True,opd,12.145447578346605,6.28488449880233,5.860563079544275,"{""offkd"": 0.7869667154330345, ""opd"": 12.145447578346605, ""seqkd"": -1.264027255066908, ""sft"": 6.28488449880233}"
