model,arm,checkpoint,probe_name,layer,epsilon,tail_at_r,tail_at_r_minus_1,margin_below,margin_above,two_sided_tail_margin,stable_rank,entropy_effective_rank,top1_energy_share,top10_energy_share,zero_probability_count,module_count
llama,opd,40,E_ood,14,0.01,0.009370844699032026,0.010729461928775682,0.04062915530096798,-0.03927053807122432,-0.03927053807122432,1.097723252938771,1.7088354783951534,0.9139915416222298,0.9817871433314611,0.0,7
llama,opd,40,E_ood,14,0.025,0.021765345402371867,0.026566813199069086,0.02823465459762814,-0.023433186800930917,-0.023433186800930917,1.097723252938771,1.7088354783951534,0.9139915416222298,0.9817871433314611,0.0,7
llama,opd,40,E_ood,14,0.05,0.03941249541026372,0.32563328035568856,0.010587504589736287,0.2756332803556885,0.00857709511436389,1.097723252938771,1.7088354783951534,0.9139915416222298,0.9817871433314611,0.0,7
llama,opd,40,E_ood,14,0.1,0.06441483173537335,0.6233027860935012,-0.014414831735373352,0.5733027860935013,-0.014414831735373352,1.097723252938771,1.7088354783951534,0.9139915416222298,0.9817871433314611,0.0,7
llama,opd,80,E_general,14,0.01,0.009262662311112632,0.010742800482718867,0.04073733768888737,-0.039257199517281134,-0.039257199517281134,1.2368110155218974,2.7095981521616967,0.8305366175654554,0.9585398921188507,0.0,7
llama,opd,80,E_general,14,0.025,0.02309077279449241,0.026105300493984296,0.026909227205507594,-0.02389469950601571,-0.02389469950601571,1.2368110155218974,2.7095981521616967,0.8305366175654554,0.9585398921188507,0.0,7
llama,opd,80,E_general,14,0.05,0.04774414338910012,0.05524182118762642,0.0022558566108998738,0.005241821187626413,0.0020248274385359327,1.2368110155218974,2.7095981521616967,0.8305366175654554,0.9585398921188507,0.0,7
llama,opd,80,E_general,14,0.1,0.08539402699732591,0.3641277903653644,-0.03539402699732591,0.31412779036536437,-0.03539402699732591,1.2368110155218974,2.7095981521616967,0.8305366175654554,0.9585398921188507,0.0,7
llama,opd,80,E_if,14,0.01,0.00927652815020332,0.010601774214924755,0.04072347184979668,-0.03939822578507525,-0.03939822578507525,1.1303359321683308,1.9432317816342366,0.8907558622120698,0.9749446072535795,0.0,7
llama,opd,80,E_if,14,0.025,0.023451886532520956,0.02697084975506365,0.026548113467479047,-0.023029150244936354,-0.023029150244936354,1.1303359321683308,1.9432317816342366,0.8907558622120698,0.9749446072535795,0.0,7
llama,opd,80,E_if,14,0.05,0.04596323443619475,0.191331726663933,0.004036765563805249,0.141331726663933,0.004012193039787744,1.1303359321683308,1.9432317816342366,0.8907558622120698,0.9749446072535795,0.0,7
llama,opd,80,E_if,14,0.1,0.07167321177413835,0.7441925240069341,-0.021673211774138345,0.6941925240069341,-0.021673211774138345,1.1303359321683308,1.9432317816342366,0.8907558622120698,0.9749446072535795,0.0,7
llama,opd,80,E_math,14,0.01,0.009431739196616577,0.010700593145279115,0.04056826080338343,-0.039299406854720886,-0.039299406854720886,1.0858785370469102,1.611408194848335,0.9226757827751159,0.9847726381154527,0.0,7
