model,arm,checkpoint,probe_name,layer,epsilon,state_rank_current,state_rank_base,absolute_contraction,relative_functional_contraction_module,tail_at_r,tail_at_r_minus_1,margin_below,margin_above,two_sided_tail_margin,stable_rank,entropy_effective_rank,top1_energy_share,top10_energy_share,top32_energy_share,stable_rank_base,entropy_effective_rank_base,stable_rank_contraction,entropy_effective_rank_contraction,module_count
llama,opd,40,E_if,14,0.01,1296.2857142857142,1319.857142857143,23.571428571428573,0.019147475105609848,0.009983166912559373,0.010020106103435414,1.6833087440626245e-05,2.0106103435412908e-05,1.0976979857714156e-05,4.47813475079507,175.2343302929285,0.39464117817358074,0.5320785763400353,0.6321118073546017,4.77689328956354,189.90431991165755,0.29875853876846964,14.669989618729058,7
llama,opd,40,E_if,14,0.025,943.0,966.7142857142857,23.714285714285715,0.02723168514330713,0.024950430999965932,0.025034384490517307,4.956900003407076e-05,3.4384490517304754e-05,2.5179216394495253e-05,4.47813475079507,175.2343302929285,0.39464117817358074,0.5320785763400353,0.6321118073546017,4.77689328956354,189.90431991165755,0.29875853876846964,14.669989618729058,7
llama,opd,40,E_if,14,0.05,669.8571428571429,691.2857142857143,21.428571428571427,0.037334860502978504,0.0498998441819221,0.05009321195500143,0.00010015581807790561,9.321195500142396e-05,5.4044726338810643e-05,4.47813475079507,175.2343302929285,0.39464117817358074,0.5320785763400353,0.6321118073546017,4.77689328956354,189.90431991165755,0.29875853876846964,14.669989618729058,7
llama,opd,40,E_if,14,0.1,418.57142857142856,435.7142857142857,17.142857142857142,0.0474972398502244,0.09964106552846093,0.10027738900060809,0.0003589344715390868,0.0002773890006080879,0.0002208766654498389,4.47813475079507,175.2343302929285,0.39464117817358074,0.5320785763400353,0.6321118073546017,4.77689328956354,189.90431991165755,0.29875853876846964,14.669989618729058,7
llama,opd,40,E_math,14,0.01,683.5714285714286,701.7142857142857,18.142857142857142,0.02668186274482111,0.009969604126378942,0.0100186640946382,3.039587362105895e-05,1.8664094638201375e-05,1.0434972267064368e-05,4.442641040078869,106.31698643148313,0.4015001474496694,0.553473419591364,0.6744908139243986,4.781656550492651,114.75218677756007,0.33901551041378264,8.435200346076938,7
llama,opd,40,E_math,14,0.025,479.0,495.14285714285717,16.142857142857142,0.03457835206943768,0.02492641410247102,0.02505409886052789,7.358589752898171e-05,5.40988605278855e-05,2.9214700113046034e-05,4.442641040078869,106.31698643148313,0.4015001474496694,0.553473419591364,0.6744908139243986,4.781656550492651,114.75218677756007,0.33901551041378264,8.435200346076938,7
llama,opd,40,E_math,14,0.05,332.0,345.42857142857144,13.428571428571429,0.04489771451556101,0.04987339997663386,0.050178436985527194,0.0001266000233661399,0.00017843698552718771,7.441647377973445e-05,4.442641040078869,106.31698643148313,0.4015001474496694,0.553473419591364,0.6744908139243986,4.781656550492651,114.75218677756007,0.33901551041378264,8.435200346076938,7
llama,opd,40,E_math,14,0.1,203.42857142857142,213.14285714285714,9.714285714285714,0.05408062819355025,0.09954093510831986,0.10042325313665505,0.00045906489168013757,0.0004232531366550508,0.00017119861907297283,4.442641040078869,106.31698643148313,0.4015001474496694,0.553473419591364,0.6744908139243986,4.781656550492651,114.75218677756007,0.33901551041378264,8.435200346076938,7
llama,opd,40,E_ood,14,0.01,1321.5714285714287,1343.5714285714287,22.0,0.016982607897977283,0.009982532638332094,0.01002057430134398,1.746736166790711e-05,2.0574301343978924e-05,5.3769248617520556e-06,5.524141355123476,199.00466011972551,0.37393434741877263,0.5308351992685382,0.6250680541486098,5.847751852800548,211.75172134221944,0.32361049767707284,12.747061222493913,7
llama,opd,40,E_ood,14,0.025,969.8571428571429,992.7142857142857,22.857142857142858,0.02578761002487354,0.02497393315283537,0.025059599854270944,2.6066847164630297e-05,5.959985427094115e-05,1.5142391142484208e-05,5.524141355123476,199.00466011972551,0.37393434741877263,0.5308351992685382,0.6250680541486098,5.847751852800548,211.75172134221944,0.32361049767707284,12.747061222493913,7
