model,arm,checkpoint,probe_name,layer,epsilon,module_count,displacement_rank,stable_rank,entropy_effective_rank,top1_energy_share,top10_energy_share,tail_at_r,two_sided_tail_margin
llama,opd,20,E_math,14,0.05,7,2.2857142857142856,1.0588308431836242,1.4296060146826635,0.9458114610489815,0.9887904694875136,0.03390029584988713,0.014022142750149642
llama,opd,20,E_math,14,0.1,7,1.1428571428571428,1.0588308431836242,1.4296060146826635,0.9458114610489815,0.9887904694875136,0.04933134295415694,0.049694931242665344
llama,opd,20,E_ood,14,0.01,7,12.285714285714286,1.0852664257319247,1.6187784420054732,0.9241420405144062,0.9840883425758629,0.009375399531816642,0.0004243746371978407
llama,opd,20,E_ood,14,0.025,7,6.0,1.0852664257319247,1.6187784420054732,0.9241420405144062,0.9840883425758629,0.02325531230516754,0.0015707565946236287
llama,opd,20,E_ood,14,0.05,7,3.142857142857143,1.0852664257319247,1.6187784420054732,0.9241420405144062,0.9840883425758629,0.03940847468889564,0.009629664257688585
llama,opd,20,E_ood,14,0.1,7,1.5714285714285714,1.0852664257319247,1.6187784420054732,0.9241420405144062,0.9840883425758629,0.05804796133601448,0.038656391163212164
llama,opd,40,E_general,14,0.01,7,20.142857142857142,1.208421429619801,2.5235465498637,0.8411907134187067,0.9614186442560936,0.009274633896351886,0.00037980814106491645
llama,opd,40,E_general,14,0.025,7,12.857142857142858,1.208421429619801,2.5235465498637,0.8411907134187067,0.9614186442560936,0.023647454615774385,0.0010878125733354
llama,opd,40,E_general,14,0.05,7,7.714285714285714,1.208421429619801,2.5235465498637,0.8411907134187067,0.9614186442560936,0.04570858703168696,0.002667496500287457
llama,opd,40,E_general,14,0.1,7,3.7142857142857144,1.208421429619801,2.5235465498637,0.8411907134187067,0.9614186442560936,0.082083127825046,0.012710027622794872
llama,opd,40,E_if,14,0.01,7,15.857142857142858,1.126931684314521,1.9179139784588857,0.8933787606328536,0.9756534262742365,0.009212305995980599,0.00027569631874748145
llama,opd,40,E_if,14,0.025,7,8.714285714285714,1.126931684314521,1.9179139784588857,0.8933787606328536,0.9756534262742365,0.023754255015501817,0.0007303209444478572
llama,opd,40,E_if,14,0.05,7,4.714285714285714,1.126931684314521,1.9179139784588857,0.8933787606328536,0.9756534262742365,0.043430773992648115,0.005733023228222142
llama,opd,40,E_if,14,0.1,7,2.142857142857143,1.126931684314521,1.9179139784588857,0.8933787606328536,0.9756534262742365,0.06825707505463269,0.031221893645262185
llama,opd,40,E_math,14,0.01,7,11.142857142857142,1.0674065666338766,1.4893346469248638,0.9381813174328852,0.9872577503250313,0.009140432728524385,0.0006190595291869912
llama,opd,40,E_math,14,0.025,7,5.428571428571429,1.0674065666338766,1.4893346469248638,0.9381813174328852,0.9872577503250313,0.020752902334627656,0.0026811727495283
llama,opd,40,E_math,14,0.05,7,2.5714285714285716,1.0674065666338766,1.4893346469248638,0.9381813174328852,0.9872577503250313,0.03701442878044862,0.01075506309021713
llama,opd,40,E_math,14,0.1,7,1.2857142857142858,1.0674065666338766,1.4893346469248638,0.9381813174328852,0.9872577503250313,0.053475316950109895,0.043275603513152114
llama,opd,40,E_ood,14,0.01,7,13.714285714285714,1.097723252938771,1.7088354783951532,0.9139915416222298,0.9817871433314611,0.009370844699031987,0.00040725873894042856
llama,opd,40,E_ood,14,0.025,7,7.285714285714286,1.097723252938771,1.7088354783951532,0.9139915416222298,0.9817871433314611,0.0217653454023718,0.0011298138904419339
llama,opd,40,E_ood,14,0.05,7,3.7142857142857144,1.097723252938771,1.7088354783951532,0.9139915416222298,0.9817871433314611,0.039412495410263655,0.008577095114363857
llama,opd,40,E_ood,14,0.1,7,1.7142857142857142,1.097723252938771,1.7088354783951532,0.9139915416222298,0.9817871433314611,0.0644148317353733,0.034241948295450984
llama,opd,80,E_general,14,0.01,7,20.714285714285715,1.2368110155218974,2.7095981521616967,0.8305366175654553,0.9585398921188507,0.009262662311112585,0.00040792482168922853
llama,opd,80,E_general,14,0.025,7,13.571428571428571,1.2368110155218974,2.7095981521616967,0.8305366175654553,0.9585398921188507,0.02309077279449237,0.0006325140692134857
llama,opd,80,E_general,14,0.05,7,7.714285714285714,1.2368110155218974,2.7095981521616967,0.8305366175654553,0.9585398921188507,0.04774414338910007,0.002024827438535888
llama,opd,80,E_general,14,0.1,7,3.7142857142857144,1.2368110155218974,2.7095981521616967,0.8305366175654553,0.9585398921188507,0.08539402699732586,0.011686027223933743
llama,opd,80,E_if,14,0.01,7,16.714285714285715,1.1303359321683308,1.9432317816342366,0.8907558622120698,0.9749446072535795,0.009276528150203286,0.00033822706650283967
