model,arm,checkpoint,probe_name,layer,epsilon,module_count,displacement_rank,stable_rank,entropy_effective_rank,top1_energy_share,top10_energy_share,tail_at_r,two_sided_tail_margin
llama,opd,80,E_if,14,0.025,7,9.285714285714286,1.1303359321683308,1.9432317816342366,0.8907558622120698,0.9749446072535795,0.0234518865325209,0.0011912105729521714
llama,opd,80,E_if,14,0.05,7,4.571428571428571,1.1303359321683308,1.9432317816342366,0.8907558622120698,0.9749446072535795,0.04596323443619469,0.00401219303978772
llama,opd,80,E_if,14,0.1,7,2.142857142857143,1.1303359321683308,1.9432317816342366,0.8907558622120698,0.9749446072535795,0.07167321177413831,0.02592701700349783
llama,opd,80,E_math,14,0.01,7,12.857142857142858,1.0858785370469104,1.611408194848335,0.9226757827751159,0.9847726381154526,0.009431739196616514,0.00031032484872144285
llama,opd,80,E_math,14,0.025,7,6.428571428571429,1.0858785370469104,1.611408194848335,0.9226757827751159,0.9847726381154526,0.022095674300056857,0.0009835401822067
llama,opd,80,E_math,14,0.05,7,2.857142857142857,1.0858785370469104,1.611408194848335,0.9226757827751159,0.9847726381154526,0.04112228468561977,0.008538089644873657
llama,opd,80,E_math,14,0.1,7,1.2857142857142858,1.0858785370469104,1.611408194848335,0.9226757827751159,0.9847726381154526,0.06596977079310026,0.034030229206899645
llama,opd,80,E_ood,14,0.01,7,14.714285714285714,1.1125474272081048,1.8127386537876158,0.9029791438758371,0.9798485717131685,0.009534586151696256,0.00019124940649249128
llama,opd,80,E_ood,14,0.025,7,7.714285714285714,1.1125474272081048,1.8127386537876158,0.9029791438758371,0.9798485717131685,0.023030346314622915,0.0013358507196475397
llama,opd,80,E_ood,14,0.05,7,3.857142857142857,1.1125474272081048,1.8127386537876158,0.9029791438758371,0.9798485717131685,0.042991359148540416,0.006698869883232086
llama,opd,80,E_ood,14,0.1,7,1.8571428571428572,1.1125474272081048,1.8127386537876158,0.9029791438758371,0.9798485717131685,0.07013969355057581,0.02951365855455177
llama,seqkd,20,E_general,14,0.01,7,28.428571428571427,1.6777341356233795,6.348765862042113,0.6078473485995671,0.8729954558914397,0.008356771798833986,0.0011320170198299427
llama,seqkd,20,E_general,14,0.025,7,24.0,1.6777341356233795,6.348765862042113,0.6078473485995671,0.8729954558914397,0.0237171424497759,0.0011517398345447713
llama,seqkd,20,E_general,14,0.05,7,19.285714285714285,1.6777341356233795,6.348765862042113,0.6078473485995671,0.8729954558914397,0.04692115379656271,0.0014104335711241714
llama,seqkd,20,E_general,14,0.1,7,12.571428571428571,1.6777341356233795,6.348765862042113,0.6078473485995671,0.8729954558914397,0.09576589219567448,0.0019245879926117
llama,seqkd,20,E_if,14,0.01,7,26.857142857142858,1.5075785481231512,4.582686521298883,0.6937876954962648,0.9109214833440173,0.008715300824816271,0.0006387603619493301
llama,seqkd,20,E_if,14,0.025,7,21.571428571428573,1.5075785481231512,4.582686521298883,0.6937876954962648,0.9109214833440173,0.02309627138023707,0.0007237936347512429
llama,seqkd,20,E_if,14,0.05,7,15.571428571428571,1.5075785481231512,4.582686521298883,0.6937876954962648,0.9109214833440173,0.04779547252138657,0.0011912339865945316
llama,seqkd,20,E_if,14,0.1,7,8.714285714285714,1.5075785481231512,4.582686521298883,0.6937876954962648,0.9109214833440173,0.09661041309504674,0.002451800698022365
llama,seqkd,20,E_math,14,0.01,7,24.285714285714285,1.3033373565175066,3.324941496709047,0.7791811774968654,0.9385437485135574,0.008693117421439885,0.00042102968582623723
llama,seqkd,20,E_math,14,0.025,7,17.571428571428573,1.3033373565175066,3.324941496709047,0.7791811774968654,0.9385437485135574,0.023171802813669973,0.0008797815305887714
llama,seqkd,20,E_math,14,0.05,7,11.285714285714286,1.3033373565175066,3.324941496709047,0.7791811774968654,0.9385437485135574,0.04761951678304694,0.0014243897493651729
llama,seqkd,20,E_math,14,0.1,7,5.857142857142857,1.3033373565175066,3.324941496709047,0.7791811774968654,0.9385437485135574,0.09073353345275026,0.005328563551547057
llama,seqkd,20,E_ood,14,0.01,7,26.571428571428573,1.4327958252682491,4.307045712999699,0.7089697354168625,0.9159307490327334,0.008743844635032114,0.0005683675428235715
