model,arm,checkpoint,probe_name,layer,epsilon,module_count,centered_state_rank,centered_state_rank_base,centered_absolute_contraction,centered_relative_contraction_equal7,uncentered_state_rank,uncentered_state_rank_base,uncentered_absolute_contraction,uncentered_relative_contraction_equal7
llama,seqkd,80,E_math,14,0.025,7,623.1428571428571,624.0,0.8571428571428571,0.0031569096971109842,493.2857142857143,495.14285714285717,1.8571428571428572,0.006938048844642267
llama,seqkd,80,E_math,14,0.05,7,458.2857142857143,459.2857142857143,1.0,0.00491494380541442,344.42857142857144,345.42857142857144,1.0,0.007357152413892855
llama,seqkd,80,E_math,14,0.1,7,300.0,300.42857142857144,0.42857142857142855,0.004142193066210661,212.71428571428572,213.14285714285714,0.42857142857142855,0.007607825478278006
llama,seqkd,80,E_ood,14,0.01,7,1561.142857142857,1565.7142857142858,4.571428571428571,0.004501663188396741,1338.7142857142858,1343.5714285714287,4.857142857142857,0.006148988479443805
llama,seqkd,80,E_ood,14,0.025,7,1220.5714285714287,1225.2857142857142,4.714285714285714,0.006371766069400907,987.4285714285714,992.7142857142857,5.285714285714286,0.010092762626533051
llama,seqkd,80,E_ood,14,0.05,7,923.1428571428571,928.0,4.857142857142857,0.008891595914400008,713.0,717.4285714285714,4.428571428571429,0.012642954682256837
llama,seqkd,80,E_ood,14,0.1,7,612.2857142857143,616.8571428571429,4.571428571428571,0.012648675095394565,458.42857142857144,461.85714285714283,3.4285714285714284,0.01179605728926672
llama,sft,20,E_general,14,0.01,7,1606.5714285714287,1609.7142857142858,3.142857142857143,0.00233876797855137,1391.0,1393.7142857142858,2.7142857142857144,0.0016746636016153464
llama,sft,20,E_general,14,0.025,7,1277.857142857143,1281.4285714285713,3.5714285714285716,0.003383622840076841,1047.5714285714287,1050.7142857142858,3.142857142857143,0.0027398643751257003
llama,sft,20,E_general,14,0.05,7,986.5714285714286,990.2857142857143,3.7142857142857144,0.004265274992571723,773.4285714285714,776.2857142857143,2.857142857142857,0.0025813480882225584
llama,sft,20,E_general,14,0.1,7,675.4285714285714,679.1428571428571,3.7142857142857144,0.006682008732173333,514.5714285714286,517.2857142857143,2.7142857142857144,0.0029524102894285744
llama,sft,20,E_if,14,0.01,7,1538.2857142857142,1543.7142857142858,5.428571428571429,0.003784427109818883,1313.142857142857,1319.857142857143,6.714285714285714,0.005463883411743696
llama,sft,20,E_if,14,0.025,7,1193.857142857143,1200.5714285714287,6.714285714285714,0.006214936046513924,959.8571428571429,966.7142857142857,6.857142857142857,0.007003173703620143
llama,sft,20,E_if,14,0.05,7,895.5714285714286,902.2857142857143,6.714285714285714,0.008084927897844376,684.7142857142857,691.2857142857143,6.571428571428571,0.009356542148119833
llama,sft,20,E_if,14,0.1,7,587.2857142857143,593.1428571428571,5.857142857142857,0.010112763024935262,430.2857142857143,435.7142857142857,5.428571428571429,0.011178174280363754
