model,arm,checkpoint,probe_name,layer,epsilon,module_count,centered_state_rank,centered_state_rank_base,centered_absolute_contraction,centered_relative_contraction_equal7,uncentered_state_rank,uncentered_state_rank_base,uncentered_absolute_contraction,uncentered_relative_contraction_equal7
llama,opd,40,E_general,14,0.01,7,1600.2857142857142,1609.7142857142858,9.428571428571429,0.005801608994427834,1381.4285714285713,1393.7142857142858,12.285714285714286,0.009572716007872833
llama,opd,40,E_general,14,0.025,7,1270.857142857143,1281.4285714285713,10.571428571428571,0.008206680855236827,1038.2857142857142,1050.7142857142858,12.428571428571429,0.013812663806034712
llama,opd,40,E_general,14,0.05,7,979.5714285714286,990.2857142857143,10.714285714285714,0.010510621286239055,764.7142857142857,776.2857142857143,11.571428571428571,0.019019082338809442
llama,opd,40,E_general,14,0.1,7,669.2857142857143,679.1428571428571,9.857142857142858,0.014743468732259174,507.7142857142857,517.2857142857143,9.571428571428571,0.02374659269347142
llama,opd,40,E_if,14,0.01,7,1527.142857142857,1543.7142857142858,16.571428571428573,0.010758498334900399,1296.2857142857142,1319.857142857143,23.571428571428573,0.019147475105609848
llama,opd,40,E_if,14,0.025,7,1181.5714285714287,1200.5714285714287,19.0,0.015800027618187492,943.0,966.7142857142857,23.714285714285715,0.02723168514330713
llama,opd,40,E_if,14,0.05,7,883.2857142857143,902.2857142857143,19.0,0.0210617093286734,669.8571428571429,691.2857142857143,21.428571428571427,0.037334860502978504
llama,opd,40,E_if,14,0.1,7,576.7142857142857,593.1428571428571,16.428571428571427,0.02749687435577583,418.57142857142856,435.7142857142857,17.142857142857142,0.0474972398502244
llama,opd,40,E_math,14,0.01,7,819.5714285714286,835.1428571428571,15.571428571428571,0.018319866298194338,683.5714285714286,701.7142857142857,18.142857142857142,0.02668186274482111
llama,opd,40,E_math,14,0.025,7,609.2857142857143,624.0,14.714285714285714,0.023075826706962517,479.0,495.14285714285717,16.142857142857142,0.03457835206943768
llama,opd,40,E_math,14,0.05,7,446.0,459.2857142857143,13.285714285714286,0.028333334835752084,332.0,345.42857142857144,13.428571428571429,0.04489771451556101
llama,opd,40,E_math,14,0.1,7,290.14285714285717,300.42857142857144,10.285714285714286,0.03346421083332003,203.42857142857142,213.14285714285714,9.714285714285714,0.05408062819355025
llama,opd,40,E_ood,14,0.01,7,1548.857142857143,1565.7142857142858,16.857142857142858,0.01037900573260388,1321.5714285714287,1343.5714285714287,22.0,0.01698260789797728
llama,opd,40,E_ood,14,0.025,7,1206.0,1225.2857142857142,19.285714285714285,0.014750854983524008,969.8571428571429,992.7142857142857,22.857142857142858,0.02578761002487354
llama,opd,40,E_ood,14,0.05,7,908.5714285714286,928.0,19.428571428571427,0.01955149777271781,697.1428571428571,717.4285714285714,20.285714285714285,0.03465737166443904
llama,opd,40,E_ood,14,0.1,7,599.4285714285714,616.8571428571429,17.428571428571427,0.02620649089134489,445.85714285714283,461.85714285714283,16.0,0.04035297873606774
llama,opd,80,E_general,14,0.01,7,1598.5714285714287,1609.7142857142858,11.142857142857142,0.007157444958825974,1379.7142857142858,1393.7142857142858,14.0,0.011101640149203505
llama,opd,80,E_general,14,0.025,7,1269.142857142857,1281.4285714285713,12.285714285714286,0.009914254199093314,1036.2857142857142,1050.7142857142858,14.428571428571429,0.016631433748013135
llama,opd,80,E_general,14,0.05,7,977.7142857142857,990.2857142857143,12.571428571428571,0.013142634427311862,763.2857142857143,776.2857142857143,13.0,0.021549449039947394
llama,opd,80,E_general,14,0.1,7,667.4285714285714,679.1428571428571,11.714285714285714,0.018247470654393114,506.42857142857144,517.2857142857143,10.857142857142858,0.02917153894549464
llama,opd,80,E_if,14,0.01,7,1523.7142857142858,1543.7142857142858,20.0,0.01341742066427568,1293.2857142857142,1319.857142857143,26.571428571428573,0.02181438476550148
llama,opd,80,E_if,14,0.025,7,1177.857142857143,1200.5714285714287,22.714285714285715,0.019645042467198916,940.1428571428571,966.7142857142857,26.571428571428573,0.03095561285614786
llama,opd,80,E_if,14,0.05,7,880.0,902.2857142857143,22.285714285714285,0.02536302969838725,667.4285714285714,691.2857142857143,23.857142857142858,0.04095364551848032
llama,opd,80,E_if,14,0.1,7,574.0,593.1428571428571,19.142857142857142,0.032713452854552016,416.7142857142857,435.7142857142857,19.0,0.051108407116022096
llama,opd,80,E_math,14,0.01,7,817.7142857142857,835.1428571428571,17.428571428571427,0.02111361738980605,682.4285714285714,701.7142857142857,19.285714285714285,0.02898466558730523
llama,opd,80,E_math,14,0.025,7,608.0,624.0,16.0,0.026121210547769058,478.14285714285717,495.14285714285717,17.0,0.03752445698828462
llama,opd,80,E_math,14,0.05,7,444.85714285714283,459.2857142857143,14.428571428571429,0.03180130507483482,331.42857142857144,345.42857142857144,14.0,0.0470594156200164
llama,opd,80,E_math,14,0.1,7,289.57142857142856,300.42857142857144,10.857142857142858,0.036244488731422206,203.14285714285714,213.14285714285714,10.0,0.054839744853288026
llama,opd,80,E_ood,14,0.01,7,1543.857142857143,1565.7142857142858,21.857142857142858,0.013861808259603894,1316.857142857143,1343.5714285714287,26.714285714285715,0.0211238416188525
llama,opd,80,E_ood,14,0.025,7,1200.7142857142858,1225.2857142857142,24.571428571428573,0.019675802193083566,965.1428571428571,992.7142857142857,27.571428571428573,0.031008176784632104
llama,opd,80,E_ood,14,0.05,7,903.1428571428571,928.0,24.857142857142858,0.0263501558878953,692.7142857142857,717.4285714285714,24.714285714285715,0.04114695840399874
llama,opd,80,E_ood,14,0.1,7,594.5714285714286,616.8571428571429,22.285714285714285,0.035595027199402295,442.42857142857144,461.85714285714283,19.428571428571427,0.04626703780332557
llama,seqkd,20,E_general,14,0.01,7,1610.0,1609.7142857142858,-0.2857142857142857,0.00047646771113142014,1394.0,1393.7142857142858,-0.2857142857142857,0.0005748386282327927
